year,month,starthour,season,weekday,trips
2019,Feb,21,Winter,Saturday,2729
2019,Feb,21,Winter,Sunday,2512
2019,Feb,21,Winter,Thursday,5091
2019,Feb,21,Winter,Tuesday,4066
2019,Feb,21,Winter,Wednesday,2822
2019,Feb,22,Winter,Friday,3089
2019,Feb,22,Winter,Monday,2781
2019,Feb,22,Winter,Saturday,2230
2019,Feb,22,Winter,Sunday,2686
2019,Feb,22,Winter,Thursday,3687
2019,Feb,22,Winter,Tuesday,2700
2019,Feb,22,Winter,Wednesday,1952
2019,Feb,23,Winter,Friday,2178
2019,Feb,23,Winter,Monday,1480
2019,Feb,23,Winter,Saturday,1874
2019,Feb,23,Winter,Sunday,1550
2019,Feb,23,Winter,Thursday,2169
2019,Feb,23,Winter,Tuesday,1422
2019,Feb,23,Winter,Wednesday,1078
2019,Mar,00,Spring,Friday,1508
2019,Mar,00,Spring,Monday,667
2019,Mar,00,Spring,Saturday,2794
2019,Mar,00,Spring,Sunday,2595
2019,Mar,00,Spring,Thursday,1056
2019,Mar,00,Spring,Tuesday,857
2019,Mar,00,Spring,Wednesday,893
2019,Mar,01,Spring,Friday,664
2019,Mar,01,Spring,Monday,321
2019,Mar,01,Spring,Saturday,1606
2019,Mar,01,Spring,Sunday,1879
2019,Mar,01,Spring,Thursday,505
2019,Mar,01,Spring,Tuesday,373
2019,Mar,01,Spring,Wednesday,400
2019,Mar,02,Spring,Friday,335
2019,Mar,02,Spring,Monday,188
2019,Mar,02,Spring,Saturday,1026
2019,Mar,02,Spring,Sunday,995
2019,Mar,02,Spring,Thursday,249
2019,Mar,02,Spring,Tuesday,209
2019,Mar,02,Spring,Wednesday,255
2019,Mar,03,Spring,Friday,246
2019,Mar,03,Spring,Monday,152
2019,Mar,03,Spring,Saturday,586
2019,Mar,03,Spring,Sunday,792
2019,Mar,03,Spring,Thursday,160
2019,Mar,03,Spring,Tuesday,140
2019,Mar,03,Spring,Wednesday,143
2019,Mar,04,Spring,Friday,373
2019,Mar,04,Spring,Monday,305
2019,Mar,04,Spring,Saturday,385
2019,Mar,04,Spring,Sunday,408
2019,Mar,04,Spring,Thursday,388
2019,Mar,04,Spring,Tuesday,350
2019,Mar,04,Spring,Wednesday,336
2019,Mar,05,Spring,Friday,1397
2019,Mar,05,Spring,Monday,1390
2019,Mar,05,Spring,Saturday,426
2019,Mar,05,Spring,Sunday,419
2019,Mar,05,Spring,Thursday,1485
2019,Mar,05,Spring,Tuesday,1594
2019,Mar,05,Spring,Wednesday,1571
2019,Mar,06,Spring,Friday,4551
2019,Mar,06,Spring,Monday,4343
2019,Mar,06,Spring,Saturday,1020
2019,Mar,06,Spring,Sunday,854
2019,Mar,06,Spring,Thursday,4976
2019,Mar,06,Spring,Tuesday,5369
2019,Mar,06,Spring,Wednesday,5284
2019,Mar,07,Spring,Friday,9451
2019,Mar,07,Spring,Monday,9249
2019,Mar,07,Spring,Saturday,2558
