year,month,age,usertype,count,mean
2019,Feb,38,Customer,490,19.2851700680272
2019,Feb,38,Subscriber,24560,12.140608034744787
2019,Feb,39,Customer,362,34.18655616942911
2019,Feb,39,Subscriber,23737,12.10778039909567
2019,Feb,40,Customer,445,33.7821722846442
2019,Feb,40,Subscriber,21806,11.704800666483186
2019,Feb,41,Customer,508,90.93881233595802
2019,Feb,41,Subscriber,18899,11.38044605534683
2019,Feb,42,Customer,289,28.341580161476344
2019,Feb,42,Subscriber,18210,12.451583379095718
2019,Feb,43,Customer,382,23.525479930191963
2019,Feb,43,Subscriber,18440,11.941648590021618
2019,Feb,44,Customer,207,154.17624798711768
2019,Feb,44,Subscriber,17656,14.277228704123312
2019,Feb,45,Customer,193,24.694732297063915
2019,Feb,45,Subscriber,16883,11.530526762621138
2019,Feb,46,Customer,331,19.90498489425984
2019,Feb,46,Subscriber,16336,11.302467964413962
2019,Feb,47,Customer,165,28.718585858585843
2019,Feb,47,Subscriber,18003,12.130930955951799
2019,Feb,48,Customer,217,27.00291858678957
2019,Feb,48,Subscriber,16809,11.25777956253597
2019,Feb,49,Customer,162,27.25699588477365
2019,Feb,49,Subscriber,18288,12.042985382035544
2019,Feb,50,Customer,19617,47.28116514587693
2019,Feb,50,Subscriber,27191,12.482781680212774
2019,Feb,51,Customer,188,39.27287234042553
2019,Feb,51,Subscriber,15610,12.812845398248948
2019,Feb,52,Customer,130,25.7974358974359
2019,Feb,52,Subscriber,14912,11.123255320100135
2019,Feb,53,Customer,202,15.505115511551155
2019,Feb,53,Subscriber,14414,11.314199158225811
2019,Feb,54,Customer,178,57.61704119850187
2019,Feb,54,Subscriber,13893,11.868966385949806
2019,Feb,55,Customer,123,22.660975609756107
2019,Feb,55,Subscriber,14068,12.536714529428506
2019,Feb,56,Customer,131,21.915776081424934
2019,Feb,56,Subscriber,13205,13.102639151836486
2019,Feb,57,Customer,63,27.175925925925927
